,data,time_casa,time_visitante,resultado
158,04/08/2018 19:00h,Grêmio,Flamengo,2-0
159,04/08/2018 21:00h,Corinthians,Atlético PR,0-0
160,05/08/2018 16:00h,Paraná,Ceará,0-1
161,05/08/2018 16:00h,América MG,Palmeiras,0-0
162,05/08/2018 16:00h,Vitória,Cruzeiro,1-1
163,05/08/2018 16:00h,São Paulo,Vasco,2-1
164,05/08/2018 19:00h,Fluminense,Bahia,1-1
165,05/08/2018 19:00h,Sport,Chapecoense,1-1
166,06/08/2018 20:00h,Atlético MG,Internacional,0-1
167,08/08/2018 19:30h,Ceará,Santos,1-1
168,11/08/2018 16:00h,Ceará,Atlético PR,0-0
169,11/08/2018 19:00h,Bahia,América MG,1-0
170,12/08/2018 11:00h,Atlético MG,Santos,3-1
171,12/08/2018 11:00h,Paraná,Botafogo,1-1
172,12/08/2018 16:00h,Chapecoense,Corinthians,2-1
173,12/08/2018 16:00h,Flamengo,Cruzeiro,1-0
174,12/08/2018 16:00h,Sport,São Paulo,1-3
175,12/08/2018 19:00h,Palmeiras,Vasco,1-0
176,12/08/2018 19:00h,Grêmio,Vitória,4-0
177,13/08/2018 20:00h,Fluminense,Internacional,0-3
178,18/08/2018 16:00h,Santos,Sport,3-0
179,18/08/2018 19:00h,Corinthians,Grêmio,0-1
180,19/08/2018 11:00h,Atlético PR,Flamengo,3-0
181,19/08/2018 11:00h,Internacional,Paraná,1-0
182,19/08/2018 16:00h,Cruzeiro,Bahia,1-1
183,19/08/2018 16:00h,Vitória,Palmeiras,0-3
184,19/08/2018 16:00h,Botafogo,Atlético MG,0-3
185,19/08/2018 19:00h,América MG,Fluminense,0-0
186,19/08/2018 19:00h,São Paulo,Chapecoense,2-0
187,20/08/2018 20:00h,Vasco,Ceará,1-1
188,22/08/2018 19:30h,Paraná,São Paulo,1-1
189,22/08/2018 19:30h,Bahia,Internacional,0-1
190,22/08/2018 21:00h,Sport,América MG,0-2
191,22/08/2018 21:00h,Palmeiras,Botafogo,2-0
192,22/08/2018 21:45h,Fluminense,Corinthians,1-0
193,22/08/2018 21:45h,Grêmio,Cruzeiro,1-1
194,23/08/2018 19:30h,Flamengo,Vitória,1-0
195,23/08/2018 20:00h,Atlético MG,Vasco,0-0
196,25/08/2018 16:00h,Santos,Bahia,2-0
197,25/08/2018 19:00h,Atlético PR,Grêmio,2-1
198,25/08/2018 19:00h,Corinthians,Paraná,1-0
199,25/08/2018 21:00h,Cruzeiro,Fluminense,2-1
200,25/08/2018 21:00h,Botafogo,Sport,2-0
201,26/08/2018 11:00h,São Paulo,Ceará,1-0
202,26/08/2018 16:00h,América MG,Flamengo,2-2
203,26/08/2018 16:00h,Vitória,Atlético MG,1-0
204,26/08/2018 16:00h,Internacional,Palmeiras,0-0
205,26/08/2018 19:00h,Vasco,Chapecoense,3-1
206,29/08/2018 19:30h,Atlético PR,Vasco,1-0
207,29/08/2018 19:30h,Ceará,Bahia,0-2
