,data,time_casa,time_visitante,resultado,id_partida,link
769,2009-05-10 19:30:00,Grêmio,Santos,1-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/santos/772908/1/live
770,2009-05-16 19:30:00,Flamengo,Avaí,0-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/avai/772909/1/live
771,2009-05-16 19:30:00,Atlético MG,Grêmio,2-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/gremio/772910/1/live
772,2009-05-16 19:30:00,Coritiba,Santo André,2-4,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/santo-andre/772911/1/live
773,2009-05-17 17:00:00,São Paulo,Atlético PR,2-2,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/atletico-pr/772996/1/live
774,2009-05-17 17:00:00,Grêmio Barueri,Fluminense,0-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio-barueri/fluminense/772997/1/live
775,2009-05-17 17:00:00,Santos,Goiás,3-3,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/goias/772998/1/live
776,2009-05-17 17:00:00,Internacional,Palmeiras,2-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/internacional/palmeiras/772999/1/live
777,2009-05-17 19:30:00,Botafogo,Corinthians,0-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/corinthians/772912/1/live
778,2009-05-17 19:30:00,Náutico,Cruzeiro,2-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/nautico/cruzeiro/772913/1/live
779,2009-05-17 19:30:00,Vitória,Sport,1-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/sport/772914/1/live
780,2009-05-23 19:30:00,Corinthians,Grêmio Barueri,2-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/gremio-barueri/772915/1/live
781,2009-05-23 19:30:00,Goiás,Internacional,0-1,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/goias/internacional/772916/1/live
782,2009-05-23 19:30:00,Cruzeiro,Vitória,2-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/vitoria/772917/1/live
783,2009-05-24 17:00:00,Grêmio,Botafogo,2-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/botafogo/773000/1/live
784,2009-05-24 17:00:00,Atlético PR,Náutico,2-3,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/nautico/773001/1/live
785,2009-05-24 17:00:00,Fluminense,Santos,1-4,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/fluminense/santos/773002/1/live
786,2009-05-24 17:00:00,Palmeiras,São Paulo,0-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/sao-paulo/773003/1/live
787,2009-05-24 19:30:00,Sport,Atlético MG,2-3,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/atletico-mg/772918/1/live
788,2009-05-24 19:30:00,Avaí,Coritiba,2-2,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/coritiba/772919/1/live
789,2009-05-24 19:30:00,Santo André,Flamengo,1-2,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santo-andre/flamengo/772920/1/live
790,2009-05-30 19:30:00,Coritiba,Goiás,1-3,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/goias/772922/1/live
791,2009-05-30 19:30:00,Atlético MG,Santo André,0-0,gsm_id_772903,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/santo-andre/772923/1/live
