,data,time_casa,time_visitante,resultado,id_partida,link
180,05/08/2017 19:00h,Corinthians,Sport,3-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/sport/2419149/1/live
181,06/08/2017 11:00h,Flamengo,Vitória,0-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/vitoria/2419147/1/live
182,06/08/2017 16:00h,Palmeiras,Atlético PR,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/atletico-pr/2419148/1/live
183,06/08/2017 16:00h,Cruzeiro,Botafogo,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/botafogo/2419150/1/live
184,06/08/2017 16:00h,Coritiba,Chapecoense,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/chapecoense/2419151/1/live
185,06/08/2017 16:00h,Grêmio,Atlético MG,2-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/atletico-mg/2419152/1/live
186,06/08/2017 16:00h,Bahia,São Paulo,2-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/bahia/sao-paulo/2419153/1/live
187,06/08/2017 19:00h,Ponte Preta,Vasco,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ponte-preta/vasco/2419154/1/live
188,06/08/2017 19:00h,Avaí,Santos,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/santos/2419155/1/live
189,09/08/2017 20:00h,Ponte Preta,Fluminense,0-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ponte-preta/fluminense/2419134/1/live
190,12/08/2017 16:00h,Atlético GO,Coritiba,1-0,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-go/coritiba/2419164/1/live
191,12/08/2017 19:00h,Vitória,Avaí,0-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/avai/2419163/1/live
192,13/08/2017 11:00h,São Paulo,Cruzeiro,3-2,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/cruzeiro/2419159/1/live
193,13/08/2017 16:00h,Vasco,Palmeiras,1-1,gsm_id_2418967,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/palmeiras/2419157/1/live
